epoch accuracy precision recall F1-score       0       1       2       0       1       2       0       1       2
  142   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  143   98.272    98.529 98.478   98.486  99.324 100.000  96.262  96.078 100.000  99.357  97.674 100.000  97.785
  144   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
  145   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
  146   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
  147   98.395    98.645 98.586   98.594  99.661 100.000  96.273  96.078 100.000  99.678  97.837 100.000  97.946
  148   98.272    98.529 98.478   98.486  99.324 100.000  96.262  96.078 100.000  99.357  97.674 100.000  97.785
  149   98.395    98.645 98.586   98.594  99.661 100.000  96.273  96.078 100.000  99.678  97.837 100.000  97.946
  150   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
  151   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
  152   98.395    98.645 98.586   98.594  99.661 100.000  96.273  96.078 100.000  99.678  97.837 100.000  97.946
  153   98.272    98.529 98.478   98.486  99.324 100.000  96.262  96.078 100.000  99.357  97.674 100.000  97.785
  154   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  155   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  156   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  157   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  158   98.519    98.762 98.693   98.702 100.000 100.000  96.285  96.078 100.000 100.000  98.000 100.000  98.107
  159   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  160   98.765    98.962 98.911   98.919 100.000 100.000  96.885  96.732 100.000 100.000  98.339 100.000  98.418
  161   98.395    98.663 98.584   98.594 100.000 100.000  95.988  95.752 100.000 100.000  97.830 100.000  97.953
  162   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  163   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
  164   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  165   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  166   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  167   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  168   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  169   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  170   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  171   98.519    98.762 98.693   98.702 100.000 100.000  96.285  96.078 100.000 100.000  98.000 100.000  98.107
  172   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  173   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  174   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  175   98.765    98.948 98.912   98.919  99.664 100.000  97.179  97.059 100.000  99.678  98.344 100.000  98.413
  176   98.765    98.948 98.912   98.919  99.664 100.000  97.179  97.059 100.000  99.678  98.344 100.000  98.413
  177   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  178   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  179   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  180   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  181   98.765    98.948 98.912   98.919  99.664 100.000  97.179  97.059 100.000  99.678  98.344 100.000  98.413
  182   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
  183   98.765    98.948 98.912   98.919  99.664 100.000  97.179  97.059 100.000  99.678  98.344 100.000  98.413
  184   98.765    98.948 98.912   98.919  99.664 100.000  97.179  97.059 100.000  99.678  98.344 100.000  98.413
  185   98.642    98.834 98.805   98.811  99.331 100.000  97.170  97.059 100.000  99.357  98.182 100.000  98.251
  186   98.765    98.948 98.912   98.919  99.664 100.000  97.179  97.059 100.000  99.678  98.344 100.000  98.413
  187   98.765    98.948 98.912   98.919  99.664 100.000  97.179  97.059 100.000  99.678  98.344 100.000  98.413
  188   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  189   98.765    98.962 98.911   98.919 100.000 100.000  96.885  96.732 100.000 100.000  98.339 100.000  98.418
  190   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  191   98.642    98.861 98.802   98.811 100.000 100.000  96.584  96.405 100.000 100.000  98.170 100.000  98.262
  192   98.519    98.745 98.695   98.703  99.662 100.000  96.573  96.405 100.000  99.678  98.007 100.000  98.101
  193   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
  194   98.395    98.630 98.587   98.595  99.327 100.000  96.562  96.405 100.000  99.357  97.844 100.000  97.940
  195   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  196   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  197   98.519    98.731 98.696   98.703  99.329 100.000  96.865  96.732 100.000  99.357  98.013 100.000  98.095
  198   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  199   98.642    98.846 98.803   98.811  99.663 100.000  96.875  96.732 100.000  99.678  98.176 100.000  98.257
  200   98.765    98.937 98.914   98.919  99.333 100.000  97.476  97.386 100.000  99.357  98.350 100.000  98.408
